Filename;Precision;Recall;F1
C-14;0.18;0.36;0.24
C-17;0.09;0.19;0.12
C-18;0.04;0.07;0.05
C-19;0.04;0.08;0.05
C-20;0.12;0.23;0.16
C-3;0.06;0.11;0.08
C-4;0.09;0.18;0.12
C-6;0.0;0.0;0.0
C-8;0.14;0.27;0.18
C-9;0.11;0.21;0.14
