Filename;Precision;Recall;F1
C-14;0.07;0.14;0.09
C-17;0.06;0.12;0.08
C-18;0.04;0.07;0.05
C-19;0.04;0.08;0.05
C-20;0.08;0.15;0.1
C-22;0.0;0.0;0.0
C-23;0.0;0.0;0.0
C-27;0.07;0.14;0.09
C-28;0.03;0.07;0.04
C-29;0.0;0.0;0.0
C-3;0.0;0.0;0.0
C-30;0.09;0.19;0.12
C-31;0.07;0.13;0.09
C-32;0.03;0.07;0.04
C-33;0.05;0.09;0.06
C-34;0.08;0.17;0.11
C-36;0.04;0.08;0.05
C-38;0.0;0.0;0.0
C-4;0.05;0.05;0.05
C-40;0.04;0.07;0.05
C-6;0.0;0.0;0.0
C-8;0.02;0.05;0.03
C-9;0.04;0.07;0.05
